genus,species,family,WD (g/cm3),level,source
Abarema,barbouriana,Fabaceae,0.512,genus,genus average
Abarema,macradenia,Fabaceae,0.438,species,local data base
Abarema,idiopoda,Fabaceae,0.512,genus,genus average
Acacia,mangium,Fabaceae,0.507,species, global data base
Acalypha,diversifolia,Euphorbiaceae,0.3,genus,genus average
Acalypha,macrostachya,Euphorbiaceae,0.3,genus,genus average
Acanthocereus,tetragonus,Cactaceae,0.592,stand-level average,
Acidoton,nicaraguensis,Euphorbiaceae,0.592,stand-level average,
Acrocomia,aculeata,Arecaceae,0.592,stand-level average,
Adelia,triloba,Euphorbiaceae,0.574,species,local data base
Adenaria,floribunda,Lythraceae,0.592,stand-level average,
Aegiphila,anomala,Lamiaceae,0.657,genus,genus average
Aegiphila,panamensis,Lamiaceae,0.657,genus,genus average
Agonandra,brasiliensis,Opiliaceae,0.818,species, global data base
Agouticarpa,curviflora,Rubiaceae,0.592,stand-level average,
Agouticarpa,williamsii,Rubiaceae,0.592,stand-level average,
Aiouea,vexatrix,Lauraceae,0.37,genus,genus average
Aiphanes,hirsuta,Arecaceae,0.592,stand-level average,
Albizia,adinocephala,Fabaceae,0.556,genus,genus average
Albizia,niopoides,Fabaceae,0.555,species, global data base
Albizia,procera,Fabaceae,0.573,species,local data base
Alchornea,costaricensis,Euphorbiaceae,0.301,species,local data base
Alchornea,grandis,Euphorbiaceae,0.34,species, global data base
Alchornea,latifolia,Euphorbiaceae,0.425,species,local data base
Alibertia,edulis,Rubiaceae,0.76,species,local data base
Alibertia,dwyeri,Rubiaceae,0.733,genus,genus average
Allenanthus,erythrocarpus,Rubiaceae,0.592,stand-level average,
Allophylus,gentryi,Sapindaceae,0.518,genus,genus average
Allophylus,psilospermus,Sapindaceae,0.518,genus,genus average
Allophylus,racemosus,Sapindaceae,0.518,genus,genus average
Alseis,blackiana,Rubiaceae,0.536,species,local data base
Amaioua,corymbosa,Rubiaceae,0.625,genus,genus average
Amaioua,magnicarpa,Rubiaceae,0.625,genus,genus average
Amaioua,pedicellata,Rubiaceae,0.625,genus,genus average
Amanoa,guianensis,Phyllanthaceae,0.843,species, global data base
Abarema,barbouriana,Fabaceae,0.512,genus,genus average
Abarema,macradenia,Fabaceae,0.438,species,local data base
Abarema,idiopoda,Fabaceae,0.512,genus,genus average
Acacia,mangium,Fabaceae,0.507,species, global data base
Acalypha,diversifolia,Euphorbiaceae,0.3,genus,genus average
Acalypha,macrostachya,Euphorbiaceae,0.3,genus,genus average
Acanthocereus,tetragonus,Cactaceae,0.592,stand-level average,
